episode: 0 | total_steps: 2400 | avg_reward: 48.433363 | train_loss: 2.995937 | value_loss: 6.701343 | policy_loss: -0.000000 | entropy: 7.094692 | grad_norm: 4.755453 | skipped_minibatches: 0.000000 | lr: 0.000000 | entropy_coef: 0.050000 | clip_param: 0.200000 | kl_divergence: -0.000000 | kl_coef: 0.133333 | gae_lambda: 0.950000 | stage: 0 | success_rate: 100.00%
episode: 100 | total_steps: 242400 | avg_reward: 160.815686 | train_loss: 1.960767 | value_loss: 5.223288 | policy_loss: -0.073192 | entropy: 11.569794 | grad_norm: 1.763182 | skipped_minibatches: 0.000000 | lr: 0.000300 | entropy_coef: 0.049930 | clip_param: 0.200000 | kl_divergence: -0.047659 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 1 | success_rate: 57.14%
episode: 200 | total_steps: 482400 | avg_reward: 176.178771 | train_loss: 1.053232 | value_loss: 3.657905 | policy_loss: -0.062991 | entropy: 14.331934 | grad_norm: 1.165379 | skipped_minibatches: 0.000000 | lr: 0.000298 | entropy_coef: 0.049722 | clip_param: 0.200000 | kl_divergence: -0.053794 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 87.04%
episode: 300 | total_steps: 722400 | avg_reward: 153.970456 | train_loss: 1.068573 | value_loss: 3.713134 | policy_loss: -0.059936 | entropy: 14.741489 | grad_norm: 1.252072 | skipped_minibatches: 0.000000 | lr: 0.000296 | entropy_coef: 0.049376 | clip_param: 0.200000 | kl_divergence: -0.082948 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 91.00%
episode: 400 | total_steps: 962400 | avg_reward: 146.701947 | train_loss: 1.152760 | value_loss: 3.867463 | policy_loss: -0.054920 | entropy: 14.851084 | grad_norm: 1.497674 | skipped_minibatches: 0.000000 | lr: 0.000293 | entropy_coef: 0.048894 | clip_param: 0.200000 | kl_divergence: -0.023839 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 94.00%
episode: 500 | total_steps: 1202400 | avg_reward: 135.925493 | train_loss: 0.990220 | value_loss: 3.528213 | policy_loss: -0.055332 | entropy: 14.882156 | grad_norm: 1.654226 | skipped_minibatches: 0.000000 | lr: 0.000290 | entropy_coef: 0.048279 | clip_param: 0.200000 | kl_divergence: -0.059950 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 94.00%
episode: 600 | total_steps: 1442400 | avg_reward: 45.002979 | train_loss: 1.276499 | value_loss: 4.059948 | policy_loss: -0.052100 | entropy: 14.762546 | grad_norm: 2.804797 | skipped_minibatches: 0.000000 | lr: 0.000285 | entropy_coef: 0.047535 | clip_param: 0.200000 | kl_divergence: 0.013094 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 97.00%
episode: 700 | total_steps: 1682400 | avg_reward: 49.445146 | train_loss: 1.086042 | value_loss: 3.668588 | policy_loss: -0.053155 | entropy: 14.901589 | grad_norm: 2.396302 | skipped_minibatches: 0.000000 | lr: 0.000280 | entropy_coef: 0.046665 | clip_param: 0.200000 | kl_divergence: -0.011080 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 98.00%
episode: 800 | total_steps: 1922400 | avg_reward: 49.021925 | train_loss: 1.027540 | value_loss: 3.510255 | policy_loss: -0.057594 | entropy: 14.676273 | grad_norm: 1.737335 | skipped_minibatches: 0.000000 | lr: 0.000274 | entropy_coef: 0.045675 | clip_param: 0.200000 | kl_divergence: 0.018343 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 95.00%
episode: 900 | total_steps: 2162400 | avg_reward: 87.524879 | train_loss: 0.903800 | value_loss: 3.219477 | policy_loss: -0.051243 | entropy: 14.682976 | grad_norm: 1.687125 | skipped_minibatches: 0.000000 | lr: 0.000268 | entropy_coef: 0.044571 | clip_param: 0.200000 | kl_divergence: -0.062299 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 98.00%
episode: 1000 | total_steps: 2402400 | avg_reward: 124.229246 | train_loss: 0.786556 | value_loss: 2.937937 | policy_loss: -0.050500 | entropy: 14.573192 | grad_norm: 1.463511 | skipped_minibatches: 0.000000 | lr: 0.000261 | entropy_coef: 0.043358 | clip_param: 0.200000 | kl_divergence: -0.039099 | kl_coef: 0.010000 | gae_lambda: 0.950000 | stage: 2 | success_rate: 98.00%
